DATE,UNIQUE_CARRIER_NAME,TOTAL_PASSENGERS,TOTAL_FREIGHT,TOTAL_MAIL
1990-01,"American Airlines Inc.",607080.0,1.5915979E7,2312598.0
1990-02,"American Airlines Inc.",570438.0,1.8498858E7,2074583.0
1990-03,"American Airlines Inc.",666866.0,2.2046259E7,2478052.0
1990-04,"American Airlines Inc.",643201.0,1.8528911E7,2193504.0
1990-05,"American Airlines Inc.",652527.0,1.8995213E7,2044700.0
1990-06,"American Airlines Inc.",707784.0,1.9837975E7,2039974.0
1990-07,"American Airlines Inc.",822047.0,2.0569492E7,2210609.0
1990-08,"American Airlines Inc.",918462.0,2.0507882E7,2566814.0
1990-09,"American Airlines Inc.",722537.0,2.1280919E7,2525929.0
1990-10,"American Airlines Inc.",733832.0,2.4440413E7,2784337.0
1990-11,"American Airlines Inc.",706455.0,2.3835498E7,3674719.0
1990-12,"American Airlines Inc.",742004.0,2.1671145E7,4922701.0
1991-01,"American Airlines Inc.",688870.0,1.9205852E7,2651366.0
1991-02,"American Airlines Inc.",568066.0,2.0968814E7,2969508.0
1991-03,"American Airlines Inc.",730197.0,2.3792945E7,3881600.0
1991-04,"American Airlines Inc.",767132.0,2.1084014E7,3379561.0
1991-05,"American Airlines Inc.",841205.0,2.2193057E7,3339915.0
1991-06,"American Airlines Inc.",904045.0,2.4741267E7,2878811.0
1991-07,"American Airlines Inc.",1093651.0,2.5383435E7,3413512.0
1991-08,"American Airlines Inc.",1201748.0,2.6188944E7,3699991.0
1991-09,"American Airlines Inc.",918816.0,2.7008283E7,3824709.0
1991-10,"American Airlines Inc.",911086.0,3.3347157E7,4514115.0
1991-11,"American Airlines Inc.",840099.0,3.3356972E7,5622031.0
1991-12,"American Airlines Inc.",939207.0,2.7035987E7,7709139.0
1992-01,"American Airlines Inc.",955056.0,2.7817405E7,4891371.0
1992-02,"American Airlines Inc.",886344.0,3.2465109E7,4735508.0
1992-03,"American Airlines Inc.",1001333.0,3.6770954E7,5032934.0
1992-04,"American Airlines Inc.",975996.0,3.4326049E7,5048386.0
1992-05,"American Airlines Inc.",1029050.0,3.5539317E7,4775073.0
1992-06,"American Airlines Inc.",1095517.0,3.7423288E7,4808511.0
1992-07,"American Airlines Inc.",1266662.0,3.8010941E7,4891724.0
1992-08,"American Airlines Inc.",1304420.0,3.5667311E7,4948393.0
1992-09,"American Airlines Inc.",1075626.0,3.7505819E7,4919493.0
1992-10,"American Airlines Inc.",1153228.0,4.3259295E7,5429756.0
1992-11,"American Airlines Inc.",1078949.0,4.1824753E7,5592076.0
1992-12,"American Airlines Inc.",1127462.0,3.7088811E7,8265768.0
