DATE,UNIQUE_CARRIER_NAME,TOTAL_PASSENGERS,TOTAL_FREIGHT,TOTAL_MAIL
1990-01,"Delta Air Lines Inc.",4738069.0,5.0619776E7,4.4929375E7
1990-02,"Delta Air Lines Inc.",4565958.0,5.0455334E7,4.1207764E7
1990-03,"Delta Air Lines Inc.",5521494.0,5.6543802E7,4.6034515E7
1990-04,"Delta Air Lines Inc.",5199576.0,5.3187779E7,4.1395734E7
1990-05,"Delta Air Lines Inc.",5131944.0,6.0425744E7,4.0951421E7
1990-06,"Delta Air Lines Inc.",5528138.0,5.7780021E7,3.9043006E7
1990-07,"Delta Air Lines Inc.",5434441.0,5.5120916E7,3.6907046E7
1990-08,"Delta Air Lines Inc.",5689824.0,5.9109405E7,4.0811919E7
1990-09,"Delta Air Lines Inc.",4580668.0,5.7218382E7,3.8953597E7
1990-10,"Delta Air Lines Inc.",4950826.0,6.0131542E7,4.3330744E7
1990-11,"Delta Air Lines Inc.",4788604.0,5.602473E7,4.4720195E7
1990-12,"Delta Air Lines Inc.",5258423.0,4.9713504E7,6.6940258E7
1991-01,"Delta Air Lines Inc.",5272095.0,5.3153758E7,5.2589732E7
1991-02,"Delta Air Lines Inc.",5274821.0,5.6448564E7,4.0661388E7
1991-03,"Delta Air Lines Inc.",5744663.0,6.0924723E7,4.6023814E7
1991-04,"Delta Air Lines Inc.",5884598.0,5.8948844E7,4.3800547E7
1991-05,"Delta Air Lines Inc.",5714996.0,6.4944454E7,4.8546343E7
1991-06,"Delta Air Lines Inc.",5937190.0,6.2232989E7,4.4156097E7
1991-07,"Delta Air Lines Inc.",6201288.0,6.0482097E7,4.4539262E7
1991-08,"Delta Air Lines Inc.",6294622.0,6.5059553E7,4.5827579E7
1991-09,"Delta Air Lines Inc.",5415603.0,6.1266138E7,4.300109E7
1991-10,"Delta Air Lines Inc.",5860525.0,6.8705186E7,5.1821266E7
1991-11,"Delta Air Lines Inc.",5404385.0,6.3670911E7,5.2989066E7
1991-12,"Delta Air Lines Inc.",6129441.0,5.3869154E7,7.7412684E7
1992-01,"Delta Air Lines Inc.",5334279.0,6.0068741E7,5.8135337E7
1992-02,"Delta Air Lines Inc.",5235447.0,6.1438098E7,5.4082566E7
1992-03,"Delta Air Lines Inc.",6135114.0,6.4250482E7,5.648156E7
1992-04,"Delta Air Lines Inc.",5652414.0,6.3709565E7,5.8519986E7
1992-05,"Delta Air Lines Inc.",5885075.0,6.7904177E7,5.5004345E7
1992-06,"Delta Air Lines Inc.",6997227.0,6.4622885E7,4.9711723E7
1992-07,"Delta Air Lines Inc.",7622003.0,6.176057E7,5.1653151E7
1992-08,"Delta Air Lines Inc.",7697573.0,6.2483484E7,5.0211437E7
1992-09,"Delta Air Lines Inc.",6395293.0,6.6684636E7,5.2665759E7
