DATE,UNIQUE_CARRIER_NAME,TOTAL_PASSENGERS,TOTAL_FREIGHT,TOTAL_MAIL
1990-01,"ATA Airlines d/b/a ATA",14472.0,0.0,0.0
1990-01,"Air Wisconsin Airlines Corp",159601.0,172783.0,249643.0
1990-01,"Alaska Airlines Inc.",351726.0,4455214.0,5071010.0
1990-01,"Aloha Airlines Inc.",359509.0,1478633.0,349644.0
1990-01,"America West Airlines Inc.",1230909.0,5589844.0,5441667.0
1990-01,"American Airlines Inc.",4852621.0,4.5394072E7,3.5251934E7
1990-01,"Amerijet International",0.0,108656.0,0.0
1990-01,"Aspen Airways Inc.",72098.0,128794.0,16074.0
1990-01,"Carnival Air Lines Inc.",288.0,0.0,0.0
1990-01,"Champion Air",2365.0,0.0,45900.0
1990-01,"Continental Air Lines Inc.",2242436.0,2.0495039E7,1.3171886E7
1990-01,"Delta Air Lines Inc.",4738069.0,5.0619776E7,4.4929375E7
1990-01,"Eastern Air Lines Inc.",1641501.0,1.1474577E7,6750604.0
1990-01,"Emery Worldwide Airlines",0.0,81676.0,0.0
1990-01,"Flagship Express Services",0.0,6092372.0,0.0
1990-01,"Florida West Airlines Inc.",0.0,787928.0,0.0
1990-01,"Hawaiian Airlines Inc.",395065.0,2471030.0,1758745.0
1990-01,"Horizon Air",120623.0,583988.0,178537.0
1990-01,"Independent Air Inc.",173.0,0.0,0.0
1990-01,"Key Airlines Inc.",128.0,0.0,0.0
1990-01,"Markair Inc.",25061.0,1084770.0,2046680.0
1990-01,"Midway Airlines Inc. (1)",451401.0,1251322.0,2950860.0
1990-01,"Midwest Airline, Inc.",50374.0,218162.0,695814.0
1990-01,"Northwest Airlines Inc.",2599073.0,1.8531684E7,2.4072558E7
1990-01,"Pan American World Airways (1)",631432.0,9833945.0,4611493.0
1990-01,"Reeve Aleutian Airways Inc.",2730.0,179800.0,591620.0
1990-01,"Southwest Airlines Co.",1538109.0,2134411.0,2400487.0
1990-01,"Sun Country Airlines d/b/a MN Airlines",112.0,0.0,0.0
1990-01,"Trans Continental Airlines",184.0,0.0,0.0
1990-01,"Trans World Airways LLC",1570166.0,1.6463211E7,1.7549089E7
1990-01,"US Airways Inc.",4318926.0,1.4606492E7,2.4166131E7
1990-01,"USAir Shuttle",136875.0,0.0,43670.0
1990-01,"United Air Lines Inc.",3543095.0,5.4038074E7,4.1242658E7
1990-01,"Westair Airlines Inc.",135301.0,0.0,0.0
1990-02,"ATA Airlines d/b/a ATA",15172.0,0.0,0.0
1990-02,"Air Wisconsin Airlines Corp",155438.0,170458.0,242352.0
1990-02,"Alaska Airlines Inc.",328257.0,4248273.0,4494080.0
1990-02,"Aloha Airlines Inc.",359407.0,1650079.0,327089.0
1990-02,"America West Airlines Inc.",1182772.0,5828314.0,4886931.0
1990-02,"American Airlines Inc.",4711414.0,4.5196998E7,3.1882743E7
1990-02,"Aspen Airways Inc.",71029.0,162911.0,13457.0
1990-02,"Carnival Air Lines Inc.",44.0,0.0,0.0
1990-02,"Champion Air",2319.0,0.0,28302.0
1990-02,"Continental Air Lines Inc.",2279587.0,2.1214425E7,1.2745688E7
1990-02,"Delta Air Lines Inc.",4565958.0,5.0455334E7,4.1207764E7
1990-02,"Eastern Air Lines Inc.",1713653.0,1.0326657E7,6337478.0
1990-02,"Express One International Inc.",0.0,0.0,0.0
1990-02,"Flagship Express Services",0.0,5438273.0,0.0
1990-02,"Florida West Airlines Inc.",0.0,157691.0,0.0
1990-02,"Hawaiian Airlines Inc.",372757.0,2455203.0,1190351.0
1990-02,"Horizon Air",111498.0,561868.0,206470.0
1990-02,"Key Airlines Inc.",1045.0,0.0,0.0
1990-02,"Markair Inc.",24381.0,998255.0,1980728.0
1990-02,"Midway Airlines Inc. (1)",487173.0,1488189.0,3738680.0
1990-02,"Midwest Airline, Inc.",48212.0,182382.0,708457.0
1990-02,"Millon Air Inc.",0.0,28576.0,0.0
1990-02,"North American Airlines",374.0,0.0,0.0
1990-02,"Northwest Airlines Inc.",2471218.0,1.8939126E7,2.1160795E7
1990-02,"Pan American World Airways (1)",585612.0,1.0086623E7,4030319.0
1990-02,"Private Jet Expeditions",23.0,0.0,0.0
1990-02,"Reeve Aleutian Airways Inc.",2472.0,272000.0,563540.0
1990-02,"Southwest Airlines Co.",1572084.0,1923165.0,2106079.0
1990-02,"Sun Country Airlines d/b/a MN Airlines",921.0,0.0,0.0
1990-02,"Trans World Airways LLC",1444224.0,1.6960185E7,1.5867292E7
1990-02,"US Airways Inc.",4315093.0,1.4578928E7,2.222858E7
1990-02,"USAir Shuttle",129233.0,0.0,39679.0
1990-02,"United Air Lines Inc.",3605815.0,5.2252656E7,3.7666072E7
1990-02,"Westair Airlines Inc.",158726.0,0.0,0.0
1990-02,"World Airways Inc.",0.0,149210.0,0.0
1990-03,"ATA Airlines d/b/a ATA",17696.0,0.0,0.0
1990-03,"Air Wisconsin Airlines Corp",186490.0,175018.0,309783.0
1990-03,"Alaska Airlines Inc.",399836.0,5106660.0,5084585.0
1990-03,"Aloha Airlines Inc.",400770.0,2000607.0,370771.0
1990-03,"America West Airlines Inc.",1353361.0,7197438.0,5593255.0
1990-03,"American Airlines Inc.",5703540.0,5.2625945E7,3.6856911E7
1990-03,"Arrow Air Inc.",0.0,874629.0,0.0
1990-03,"Aspen Airways Inc.",81370.0,174772.0,17307.0
1990-03,"Champion Air",2856.0,0.0,34608.0
1990-03,"Continental Air Lines Inc.",2724247.0,2.5063092E7,1.4547477E7
1990-03,"Delta Air Lines Inc.",5521494.0,5.6543802E7,4.6034515E7
1990-03,"Discovery Airways Inc.",2865.0,0.0,0.0
1990-03,"Eastern Air Lines Inc.",1997658.0,1.230163E7,7246490.0
1990-03,"Flagship Express Services",0.0,6919723.0,0.0
1990-03,"Florida West Airlines Inc.",0.0,159817.0,0.0
1990-03,"Hawaiian Airlines Inc.",420415.0,2703189.0,1434389.0
1990-03,"Horizon Air",133531.0,690547.0,203278.0
1990-03,"Key Airlines Inc.",401.0,0.0,0.0
1990-03,"Markair Inc.",30359.0,1286669.0,2291803.0
1990-03,"Midway Airlines Inc. (1)",605757.0,1542792.0,3940120.0
1990-03,"Midwest Airline, Inc.",64571.0,229296.0,832901.0
1990-03,"Millon Air Inc.",0.0,122114.0,0.0
1990-03,"Northwest Airlines Inc.",3027726.0,2.2056687E7,2.4021634E7
1990-03,"Pan American World Airways (1)",708452.0,1.2940434E7,4515867.0
1990-03,"Reeve Aleutian Airways Inc.",3333.0,182060.0,665520.0
1990-03,"Southwest Airlines Co.",1889707.0,2256305.0,1632487.0
1990-03,"Sun Country Airlines d/b/a MN Airlines",845.0,0.0,0.0
1990-03,"Tower Air Inc.",3641.0,0.0,0.0
1990-03,"Trans World Airways LLC",1777868.0,1.9799387E7,1.9113215E7
1990-03,"US Airways Inc.",5280844.0,1.7402663E7,2.5413032E7
1990-03,"USAir Shuttle",156615.0,0.0,43559.0
1990-03,"United Air Lines Inc.",4437410.0,6.0900967E7,4.2839664E7
1990-03,"Westair Airlines Inc.",195312.0,0.0,0.0
1990-03,"World Airways Inc.",0.0,92556.0,0.0
1990-04,"ATA Airlines d/b/a ATA",17853.0,0.0,0.0
1990-04,"Air Wisconsin Airlines Corp",180845.0,177495.0,276457.0
1990-04,"Alaska Airlines Inc.",368186.0,5076918.0,4870969.0
1990-04,"Aloha Airlines Inc.",361334.0,1622972.0,365080.0
1990-04,"America West Airlines Inc.",1252974.0,6712589.0,5195665.0
1990-04,"American Airlines Inc.",5395061.0,4.8720979E7,3.4513688E7
1990-04,"Amerijet International",0.0,237079.0,0.0
1990-04,"Aspen Airways Inc.",27352.0,61777.0,9373.0
1990-04,"Champion Air",2511.0,1398.0,42668.0
1990-04,"Continental Air Lines Inc.",2440870.0,2.2149283E7,1.3679319E7
1990-04,"Delta Air Lines Inc.",5199576.0,5.3187779E7,4.1395734E7
1990-04,"Discovery Airways Inc.",19472.0,0.0,0.0
1990-04,"Eastern Air Lines Inc.",1838644.0,1.1530229E7,7693229.0
1990-04,"Evergreen International Inc.",0.0,367820.0,0.0
1990-04,"Flagship Express Services",0.0,5899874.0,0.0
1990-04,"Florida West Airlines Inc.",0.0,370668.0,0.0
1990-04,"Hawaiian Airlines Inc.",392179.0,2480026.0,1334230.0
1990-04,"Horizon Air",116990.0,717941.0,195005.0
1990-04,"Key Airlines Inc.",288.0,0.0,0.0
1990-04,"Markair Inc.",31181.0,1320864.0,2314780.0
1990-04,"Midway Airlines Inc. (1)",545186.0,1627010.0,3250860.0
1990-04,"Midwest Airline, Inc.",67278.0,353372.0,902943.0
1990-04,"Northwest Airlines Inc.",2732590.0,2.0286946E7,2.1695727E7
1990-04,"Pan American World Airways (1)",695113.0,1.1647367E7,3545329.0
1990-04,"Reeve Aleutian Airways Inc.",3302.0,207920.0,647780.0
1990-04,"Southern Air Transport Inc.",0.0,45050.0,0.0
1990-04,"Southwest Airlines Co.",1827089.0,2236218.0,2092434.0
1990-04,"Sun Country Airlines d/b/a MN Airlines",285.0,0.0,0.0
1990-04,"Trans World Airways LLC",1724453.0,1.7362437E7,1.6992418E7
1990-04,"US Airways Inc.",5205632.0,1.6302201E7,2.3779781E7
1990-04,"USAir Shuttle",160837.0,0.0,42490.0
1990-04,"United Air Lines Inc.",4118060.0,5.8699102E7,3.8422254E7
1990-04,"Westair Airlines Inc.",186666.0,0.0,0.0
1990-04,"World Airways Inc.",0.0,27335.0,0.0
1990-05,"ATA Airlines d/b/a ATA",16916.0,0.0,0.0
1990-05,"Air Wisconsin Airlines Corp",191838.0,185412.0,282939.0
1990-05,"Alaska Airlines Inc.",393115.0,6250150.0,5012089.0
1990-05,"Aloha Airlines Inc.",358304.0,1794064.0,747551.0
1990-05,"America West Airlines Inc.",1264251.0,7830700.0,5749952.0
1990-05,"American Airlines Inc.",5567863.0,5.4849198E7,3.541047E7
1990-05,"Amerijet International",0.0,260223.0,0.0
1990-05,"Arrow Air Inc.",0.0,65337.0,0.0
1990-05,"Aspen Airways Inc.",19658.0,43953.0,7978.0
1990-05,"Carnival Air Lines Inc.",759.0,0.0,0.0
1990-05,"Champion Air",2781.0,890.0,43357.0
1990-05,"Continental Air Lines Inc.",2469479.0,2.5437135E7,1.4131571E7
1990-05,"Delta Air Lines Inc.",5131944.0,6.0425744E7,4.0951421E7
1990-05,"Discovery Airways Inc.",31780.0,0.0,0.0
1990-05,"Eastern Air Lines Inc.",1507058.0,1.1592671E7,8753988.0
1990-05,"Evergreen International Inc.",0.0,30000.0,0.0
1990-05,"Flagship Express Services",0.0,4893376.0,0.0
1990-05,"Florida West Airlines Inc.",0.0,113212.0,0.0
1990-05,"Hawaiian Airlines Inc.",394438.0,2816401.0,999513.0
1990-05,"Horizon Air",125343.0,794023.0,210990.0
1990-05,"Key Airlines Inc.",138.0,0.0,0.0
