UNIQUE_CARRIER_NAME,TOTAL_PASSENGERS,TOTAL_FREIGHT,TOTAL_MAIL
"40-Mile Air",10455.0,1364691.0,636639.0
"ABX Air Inc",0.0,1.2321377267E10,52141.0
"ADVANCED AIR, LLC",34799.0,0.0,0.0
"ATA Airlines d/b/a ATA",7.1718549E7,7.2023163E7,5.770221E7
"Accessair Holdings",119039.0,0.0,0.0
"Aerial Transit Company",0.0,121108.0,0.0
"Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",323177.0,1166.0,0.0
"Air 21",159761.0,0.0,0.0
"Air Charter, Inc d/b/a Air Flamenco",268814.0,4500127.0,4558884.0
"Air Excursions LLC",106954.0,2809563.0,2655269.0
"Air Greco, Inc., d/b/a Wings Air",1490.0,0.0,0.0
"Air Midwest Inc.",2014781.0,2480115.0,150574.0
"Air South Inc. (1)",2293308.0,0.0,0.0
"Air St. Thomas",13151.0,0.0,0.0
"Air Sunshine Inc.",14846.0,0.0,0.0
"Air Transport International",1085.0,4.693335879E9,2.4432989E7
"Air Wisconsin Airlines Corp",1.24387061E8,2.9171198E7,2.9055588E7
"Air-Serve",14.0,0.0,0.0
"AirTran Airways Corporation",2.64166199E8,5.6103022E7,7.6273307E7
"Airmark Airlines Inc.",184.0,0.0,0.0
"Alaska Airlines Inc.",4.35114558E8,3.061838312E9,1.212654792E9
"Alaska Central Express",47992.0,1.42177418E8,1.46145345E8
"Allegheny Airlines",3354812.0,1688241.0,581355.0
"Allegiant Air",1.11219625E8,0.0,0.0
"Aloha Air Cargo",0.0,8.59799223E8,2.76243843E8
"Aloha Airlines Inc.",8.3925782E7,7.66630971E8,1.92699211E8
"Alsek Air",187.0,14176.0,4375.0
"America West Airlines Inc.",3.17120226E8,1.274848152E9,1.420977531E9
"American Airlines Inc.",2.253050537E9,1.1673417188E10,7.594593543E9
"Amerijet International",0.0,5.81662946E8,839542.0
"Ameristar Air Cargo",112770.0,4.5025617E7,0.0
"Arctic Circle Air Service",16877.0,2.7331448E7,2.663103E7
"Arizona Express",10326.0,16202.0,0.0
"Arrow Air Inc.",0.0,1.48774816E8,1888295.0
"Asia Pacific",0.0,5.2742463E7,4.203017E7
"Aspen Airways Inc.",534335.0,746744.0,79686.0
"Astar USA, LLC",0.0,3.438628202E9,2238341.0
"Atlas Air Inc.",88290.0,1.1169699538E10,0.0
"Av Atlantic",20714.0,0.0,0.0
"Avjet Corporation",46550.0,2.0,0.0
"Baker Aviation Inc.",4891.0,108581.0,3060131.0
"Bellair Inc. (1)",0.0,1743013.0,4063384.0
"Bemidji Airlines",0.0,8901455.0,0.0
"Bering Air Inc.",1346461.0,3.5004104E7,1.13270557E8
"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",54353.0,1617993.0,1.365923E7
"Big Sky Airlines Inc.",655418.0,328761.0,0.0
"Boston-Maine Airways",253414.0,34412.0,0.0
"Boutique Air",658778.0,0.0,0.0
"Braniff International Airlines Inc.",620105.0,0.0,0.0
"Buffalo Airways Inc.",0.0,1476043.0,0.0
"Business Express",6620087.0,0.0,0.0
"CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",492468.0,1507.0,0.0
"Cape Air",1.0521438E7,72774.0,1.5622383E7
"Cape Smythe Air Service",103757.0,3615706.5,1.188729E7
"Capital Cargo International",9.0,2.077652028E9,3424685.0
"Capitol Air Express Inc.",651.0,0.0,0.0
"Cargo 360, Inc.",0.0,1.5460051E7,0.0
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",364850.0,0.0,0.0
"Carnival Air Lines Inc.",7092091.0,6.3467955E7,1.5946481E7
"Centurion Cargo Inc.",0.0,3.9379869E7,1317345.0
"Champion Air",3249119.0,6827713.0,2647361.0
"Chautauqua Airlines Inc.",7.028855E7,1399011.0,4391158.0
"Chicago Express Airlines",3879174.0,625104.0,288122.0
"City Wings Inc dba Seaflight",141280.0,0.0,0.0
"Colgan Air",1.8276144E7,1138543.0,217947.0
"Comair Inc.",1.00388446E8,8.81092912E8,1.6173448E7
"Commutair Aka Champlain Enterprises, Inc.",1.6826344E7,30466.0,2019.0
"Compass Airlines",4.9248831E7,229472.0,57494.0
"Conner Air Lines Inc.",0.0,184833.0,0.0
"Continental Air Lines Inc.",7.34661576E8,4.238470251E9,3.496105839E9
"Continental Micronesia",5856225.0,2.63301553E8,1.31087064E8
