DATE,UNIQUE_CARRIER_NAME,TOTAL_PASSENGERS,TOTAL_FREIGHT,TOTAL_MAIL
1990-01,"ATA Airlines d/b/a ATA",61651.0,0.0,0.0
1990-01,"Aerial Transit Company",0.0,1662916.0,0.0
1990-01,"Air Transport International",0.0,2401846.0,0.0
1990-01,"Alaska Airlines Inc.",28432.0,23432.0,5220.0
1990-01,"Aloha Airlines Inc.",231.0,55665.0,0.0
1990-01,"America West Airlines Inc.",7545.0,14150.0,35550.0
1990-01,"American Airlines Inc.",607080.0,1.5915979E7,2312598.0
1990-01,"Amerijet International",0.0,2092806.0,0.0
1990-01,"Arrow Air Inc.",0.0,7382452.0,0.0
1990-01,"Buffalo Airways Inc.",0.0,607602.0,0.0
1990-01,"Carnival Air Lines Inc.",28332.0,78631.0,0.0
1990-01,"Centurion Cargo Inc.",0.0,1.0903104E7,376037.0
1990-01,"Conner Air Lines Inc.",0.0,488546.0,0.0
1990-01,"Continental Air Lines Inc.",337762.0,1.0971228E7,788916.0
1990-01,"Delta Air Lines Inc.",304894.0,7385971.0,1189474.0
1990-01,"Eastern Air Lines Inc.",187140.0,567541.0,2063144.0
1990-01,"Emery Worldwide Airlines",0.0,283778.0,0.0
1990-01,"Evergreen International Inc.",0.0,1372940.0,0.0
1990-01,"Express One International Inc.",11616.0,0.0,0.0
1990-01,"Federal Express Corporation",0.0,6.5743037E7,2962124.0
1990-01,"Flagship Express Services",0.0,8990680.0,0.0
1990-01,"Florida West Airlines Inc.",0.0,9390719.0,0.0
1990-01,"Hawaiian Airlines Inc.",17782.0,46055.0,9276.0
1990-01,"Horizon Air",12404.0,8646.0,3415.0
1990-01,"Independent Air Inc.",3528.0,0.0,0.0
1990-01,"Key Airlines Inc.",17304.0,0.0,0.0
1990-01,"Kitty Hawk International",0.0,685596.0,0.0
1990-01,"Markair Inc.",0.0,82599.0,0.0
1990-01,"Midway Airlines Inc. (1)",8277.0,65.0,0.0
1990-01,"Millon Air Inc.",0.0,2826419.0,0.0
1990-01,"North American Airlines",537.0,0.0,0.0
1990-01,"Northwest Airlines Inc.",392641.0,3.006722E7,3336907.0
1990-01,"Pan American World Airways (1)",455002.0,1.9266449E7,4484666.0
1990-01,"Rich International Airways",148.0,0.0,0.0
1990-01,"Southern Air Transport Inc.",0.0,330138.0,0.0
1990-01,"Sun Country Airlines d/b/a MN Airlines",17955.0,0.0,0.0
1990-01,"Tower Air Inc.",25136.0,0.0,0.0
1990-01,"Trans Continental Airlines",0.0,38396.0,0.0
1990-01,"Trans World Airways LLC",222838.0,1.0751005E7,3098259.0
1990-01,"Trans-Air-Link Corporation",0.0,1099727.0,0.0
1990-01,"US Airways Inc.",93955.0,1369972.0,515876.0
1990-01,"United Air Lines Inc.",320229.0,8214137.0,1317820.0
1990-01,"United Parcel Service",0.0,3253600.0,0.0
1990-01,"Westair Airlines Inc.",656.0,0.0,0.0
1990-01,"World Airways Inc.",561.0,4134729.0,0.0
1990-02,"ATA Airlines d/b/a ATA",67000.0,0.0,0.0
1990-02,"Aerial Transit Company",0.0,1445199.0,0.0
1990-02,"Air Transport International",0.0,2408536.0,0.0
1990-02,"Alaska Airlines Inc.",23464.0,23267.0,5519.0
1990-02,"Aloha Airlines Inc.",253.0,50430.0,0.0
1990-02,"America West Airlines Inc.",6337.0,6116.0,31769.0
1990-02,"American Airlines Inc.",570438.0,1.8498858E7,2074583.0
1990-02,"Amerijet International",0.0,2279977.0,0.0
1990-02,"Arrow Air Inc.",0.0,7107961.0,0.0
1990-02,"Buffalo Airways Inc.",0.0,984288.0,0.0
1990-02,"Carnival Air Lines Inc.",30136.0,124893.0,0.0
1990-02,"Centurion Cargo Inc.",0.0,1.1413928E7,285646.0
1990-02,"Conner Air Lines Inc.",0.0,575562.0,0.0
1990-02,"Continental Air Lines Inc.",298826.0,1.2552126E7,738141.0
1990-02,"Delta Air Lines Inc.",277550.0,8429570.0,1125428.0
1990-02,"Eastern Air Lines Inc.",137864.0,562387.0,2141562.0
1990-02,"Emery Worldwide Airlines",0.0,344373.0,0.0
1990-02,"Evergreen International Inc.",0.0,1045520.0,0.0
1990-02,"Express One International Inc.",10647.0,0.0,0.0
1990-02,"Federal Express Corporation",0.0,6.7982533E7,2834945.0
1990-02,"Flagship Express Services",0.0,7711157.0,0.0
1990-02,"Florida West Airlines Inc.",0.0,9058450.0,0.0
1990-02,"Hawaiian Airlines Inc.",13023.0,41438.0,21239.0
1990-02,"Horizon Air",11657.0,9268.0,1614.0
1990-02,"Independent Air Inc.",5642.0,0.0,0.0
1990-02,"Key Airlines Inc.",19352.0,0.0,0.0
1990-02,"Kitty Hawk International",0.0,723082.0,0.0
1990-02,"Midway Airlines Inc. (1)",15074.0,17057.0,0.0
1990-02,"Millon Air Inc.",0.0,3010304.0,0.0
1990-02,"North American Airlines",4059.0,0.0,0.0
1990-02,"Northwest Airlines Inc.",340104.0,3.0597916E7,3365839.0
1990-02,"Pan American World Airways (1)",375356.0,2.0965019E7,4270466.0
1990-02,"Private Jet Expeditions",56.0,0.0,0.0
1990-02,"Rich International Airways",1487.0,0.0,0.0
1990-02,"Southern Air Transport Inc.",0.0,147136.0,0.0
1990-02,"Sun Country Airlines d/b/a MN Airlines",22876.0,0.0,0.0
1990-02,"Tower Air Inc.",22213.0,0.0,0.0
1990-02,"Trans Continental Airlines",5066.0,0.0,0.0
1990-02,"Trans World Airways LLC",161991.0,1.2193296E7,2766172.0
1990-02,"Trans-Air-Link Corporation",0.0,1242486.0,0.0
1990-02,"US Airways Inc.",90489.0,1421424.0,530275.0
1990-02,"United Air Lines Inc.",307768.0,8344804.0,1303994.0
1990-02,"United Parcel Service",0.0,3490500.0,0.0
1990-02,"Universal Airlines Inc.",0.0,9648.0,0.0
1990-02,"Westair Airlines Inc.",7.0,0.0,0.0
1990-02,"World Airways Inc.",1381.0,3471079.0,0.0
1990-03,"ATA Airlines d/b/a ATA",82101.0,0.0,0.0
1990-03,"Aerial Transit Company",0.0,2468672.0,0.0
1990-03,"Air Transport International",0.0,2900923.0,0.0
1990-03,"Air Wisconsin Airlines Corp",0.0,0.0,0.0
1990-03,"Alaska Airlines Inc.",28552.0,16173.0,6309.0
1990-03,"Aloha Airlines Inc.",294.0,41794.0,0.0
1990-03,"America West Airlines Inc.",8701.0,4487.0,40527.0
1990-03,"American Airlines Inc.",666866.0,2.2046259E7,2478052.0
1990-03,"Amerijet International",0.0,3068973.0,0.0
1990-03,"Arrow Air Inc.",0.0,7201699.0,0.0
1990-03,"Buffalo Airways Inc.",0.0,942792.0,0.0
1990-03,"Carnival Air Lines Inc.",36813.0,89325.0,0.0
1990-03,"Centurion Cargo Inc.",0.0,1.2650965E7,294744.0
1990-03,"Conner Air Lines Inc.",0.0,587825.0,0.0
1990-03,"Continental Air Lines Inc.",337577.0,1.3638906E7,808583.0
1990-03,"Delta Air Lines Inc.",351182.0,9629490.0,1264115.0
1990-03,"Eastern Air Lines Inc.",160014.0,584130.0,2374819.0
1990-03,"Emery Worldwide Airlines",0.0,140357.0,0.0
1990-03,"Evergreen International Inc.",0.0,1783278.0,0.0
1990-03,"Express One International Inc.",14435.0,0.0,0.0
1990-03,"Federal Express Corporation",0.0,8.4907818E7,2589983.0
1990-03,"Flagship Express Services",0.0,1.0093201E7,0.0
1990-03,"Florida West Airlines Inc.",0.0,9980084.0,0.0
1990-03,"Hawaiian Airlines Inc.",18062.0,52388.0,4124.0
1990-03,"Horizon Air",14829.0,14397.0,830.0
1990-03,"Independent Air Inc.",7167.0,0.0,0.0
1990-03,"Key Airlines Inc.",24632.0,0.0,0.0
1990-03,"Kitty Hawk International",0.0,804042.0,0.0
1990-03,"Midway Airlines Inc. (1)",24556.0,23722.0,0.0
1990-03,"Millon Air Inc.",0.0,2521644.0,0.0
1990-03,"North American Airlines",7130.0,0.0,0.0
1990-03,"Northwest Airlines Inc.",400662.0,3.6923968E7,3599144.0
