UNIQUE_CARRIER_NAME,TOTAL_PASSENGERS,TOTAL_FREIGHT,TOTAL_MAIL
"ABX Air Inc",0.0,3.679513777E9,5709858.0
"ATA Airlines d/b/a ATA",1.1089802E7,1477251.0,93.0
"Aerial Transit Company",0.0,4.2975879E7,14076.0
"Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",1058.0,0.0,0.0
"Air Charter, Inc d/b/a Air Flamenco",1001.0,2786410.0,0.0
"Air Excursions LLC",380.0,310.0,0.0
"Air Greco, Inc., d/b/a Wings Air",818.0,0.0,0.0
"Air Midwest Inc.",11842.0,697.0,750.0
"Air St. Thomas",5395.0,0.0,0.0
"Air Sunshine Inc.",59269.0,0.0,0.0
"Air Transport International",13326.0,7.15440971E8,0.0
"Air Wisconsin Airlines Corp",5698490.0,675929.0,25945.0
"AirTran Airways Corporation",6428221.0,0.0,3213.0
"Airmark Airlines Inc.",7339.0,0.0,0.0
"Alaska Airlines Inc.",4.4873618E7,1.49329928E8,4.8641694E7
"Alaska Central Express",18.0,40269.0,0.0
"Allegheny Airlines",57427.0,722.0,377.0
"Allegiant Air",725246.0,504000.0,0.0
"Aloha Airlines Inc.",287114.0,5748853.0,28470.0
"America West Airlines Inc.",9684118.0,1.86255E7,1547281.0
"American Airlines Inc.",5.79002943E8,2.0985595082E10,1.798766706E9
"Amerijet International",0.0,3.40160873E9,2.1311421E7
"Ameristar Air Cargo",8115.0,2.3133651E7,0.0
"Arrow Air Inc.",5643.0,3.590854689E9,2052292.0
"Asia Pacific",0.0,2.09801695E8,2.782588E7
"Astar USA, LLC",1.0,1.559486664E9,1.7224861E7
"Atlas Air Inc.",245995.0,1.7439632817E10,10000.0
"Av Atlantic",265896.0,0.0,0.0
"Avjet Corporation",7551.0,0.0,0.0
"Bering Air Inc.",5782.0,357860.0,0.0
"Big Sky Airlines Inc.",13593.0,0.0,0.0
"Boston-Maine Airways",91900.0,27362.0,0.0
"Buffalo Airways Inc.",9006.0,9.2740122E7,0.0
"Business Express",779826.0,0.0,0.0
