DATE,NET_INCOME
1990-1,-621938.8899999999
1990-2,555146.2399999999
1990-3,-209008.99999999977
1990-4,-3647101.11
1991-1,-1331422.299999999
1991-2,424647.6100000001
1991-3,-113378.7000000003
1991-4,-904414.7300000004
1992-1,-1250935.8799999997
1992-2,-744956.2900000004
1992-3,-108148.99999999974
1992-4,-2667829.1599999997
1993-1,-813509.78
1993-2,176939.74999999965
1993-3,417632.68999999994
1993-4,490591.8000000004
1994-1,-405853.5699999996
1994-2,149586.7400000001
1994-3,938406.54
1994-4,-1026245.7799999996
1995-1,-145699.5400000002
1995-2,1149557.1
1995-3,1246826.7
1995-4,88861.21999999997
1996-1,-85102.82999999955
1996-2,1470972.37
1996-3,1215168.24
1996-4,202869.3800000001
1997-1,640597.48
1997-2,1494150.9200000002
1997-3,1930665.89
1997-4,1102242.4
1998-1,770120.8300000001
1998-2,1925892.8800000001
1998-3,1530350.19
1998-4,684269.52
1999-1,734010.3599999999
1999-2,2350244.76
1999-3,1557358.69
1999-4,719329.1199999999
2000-1,23701.66999999946
2000-2,1899096.0099999998
2000-3,937327.28
2000-4,-327424.7599999998
2001-1,-909776.1700000002
2001-2,-923114.8999999994
2001-3,-2560102.72
2001-4,-3873515.269999998
2002-1,-3250361.090000001
2002-2,-1469849.990000001
2002-3,-2494530.6000000006
2002-4,-4150742.0100000054
2003-1,-1920924.1899999995
2003-2,647419.5399999998
2003-3,-265900.32000000053
2003-4,-176063.56999999983
2004-1,-1456177.4300000004
2004-2,-1915124.669999999
2004-3,-1123526.85
2004-4,-4609595.470000003
2005-1,-3207134.990000001
2005-2,-1487160.6200000015
2005-3,-2333165.8600000013
2005-4,-2.019243427000001E7
2006-1,2.08624817E7
2006-2,-694110.44
2006-3,-161700.4899999994
2006-4,-1820558.5399999996
2007-1,-67018.58999999939
2007-2,5979561.640000001
2007-3,1800248.75
2007-4,-21387.360000000568
2008-1,-1.1599702899999993E7
2008-2,-4276655.880000002
2008-3,-2718556.5100000002
2008-4,-5154919.049999999
2009-1,-1844757.5100000007
2009-2,-628661.8
2009-3,-102223.9300000004
2009-4,49366.430000000284
2010-1,-615725.9600000014
2010-2,1595509.2700000003
2010-3,2369313.42
2010-4,316897.8499999996
2011-1,-848148.3099999991
2011-2,1003401.1199999999
2011-3,1482414.8000000003
2011-4,-245479.97999999835
2012-1,-1691851.5099999998
2012-2,771312.5299999996
2012-3,1369707.68
2012-4,-85437.0699999996
2013-1,-45630.66000000108
2013-2,2146406.88
2013-3,3222741.0
2013-4,7387695.99
2014-1,549797.4700000007
2014-2,3849384.3
2014-3,3522646.5199999996
2014-4,518805.2100000001
2015-1,3544540.5300000003
2015-2,5732621.52
2015-3,9655116.81
2015-4,7447651.99
2016-1,3495119.46
2016-2,5094145.29
2016-3,4195562.79
2016-4,2824916.3200000003
2017-1,2318253.98
2017-2,4995529.32
2017-3,3901986.04
2017-4,5588711.220000001
2018-1,3438610.249999999
2018-2,4109147.2
2018-3,4130730.1999999997
2018-4,3580010.1900000004
2019-1,2692244.3200000003
2019-2,5251150.379999999
2019-3,4922672.899999999
null,0.0
