Date,Cancellations
2001-01-01,1190
2001-01-02,706
2001-01-03,575
2001-01-04,474
2001-01-05,877
2001-01-06,508
2001-01-07,461
2001-01-08,506
2001-01-09,545
2001-01-10,709
2001-01-11,712
2001-01-12,633
2001-01-13,312
2001-01-14,509
2001-01-15,664
2001-01-16,625
2001-01-17,459
2001-01-18,852
2001-01-19,705
2001-01-20,862
2001-01-21,1217
2001-01-22,428
2001-01-23,472
2001-01-24,388
2001-01-25,464
2001-01-26,603
2001-01-27,453
2001-01-28,497
2001-01-29,1165
2001-01-30,830
2001-01-31,490
2001-02-01,352
2001-02-02,400
2001-02-03,239
2001-02-04,298
2001-02-05,1599
2001-02-06,791
2001-02-07,720
2001-02-08,581
2001-02-09,1014
2001-02-10,464
2001-02-11,374
2001-02-12,548
2001-02-13,787
2001-02-14,971
2001-02-15,608
2001-02-16,503
2001-02-17,350
2001-02-18,263
2001-02-19,294
2001-02-20,490
2001-02-21,409
2001-02-22,872
2001-02-23,583
2001-02-24,733
2001-02-25,1040
2001-02-26,502
2001-02-27,698
2001-02-28,965
2001-03-01,523
2001-03-02,474
2001-03-03,379
2001-03-04,903
2001-03-05,2821
2001-03-06,2057
2001-03-07,454
2001-03-08,410
2001-03-09,471
2001-03-10,286
2001-03-11,254
2001-03-12,606
2001-03-13,618
2001-03-14,468
2001-03-15,461
2001-03-16,499
2001-03-17,301
2001-03-18,235
2001-03-19,365
2001-03-20,664
2001-03-21,756
2001-03-22,599
2001-03-23,396
2001-03-24,226
2001-03-25,199
2001-03-26,440
2001-03-27,384
2001-03-28,258
2001-03-29,367
2001-03-30,667
2001-03-31,335
2001-04-01,251
2001-04-02,398
2001-04-03,456
2001-04-04,467
2001-04-05,471
2001-04-06,593
2001-04-07,417
2001-04-08,313
2001-04-09,633
2001-04-10,599
2001-04-11,1550
2001-04-12,630
2001-04-13,412
2001-04-14,151
2001-04-15,280
2001-04-16,288
2001-04-17,257
2001-04-18,328
2001-04-19,187
2001-04-20,241
2001-04-21,249
2001-04-22,255
2001-04-23,404
2001-04-24,306
2001-04-25,239
2001-04-26,246
2001-04-27,221
2001-04-28,191
2001-04-29,152
2001-04-30,229
2001-05-01,344
2001-05-02,312
2001-05-03,274
2001-05-04,396
2001-05-05,274
2001-05-06,180
2001-05-07,443
2001-05-08,298
2001-05-09,281
2001-05-10,241
2001-05-11,287
2001-05-12,206
2001-05-13,257
2001-05-14,416
2001-05-15,421
2001-05-16,340
2001-05-17,270
2001-05-18,239
2001-05-19,246
2001-05-20,153
2001-05-21,468
2001-05-22,803
2001-05-23,419
2001-05-24,280
2001-05-25,208
2001-05-26,148
2001-05-27,171
2001-05-28,163
2001-05-29,216
2001-05-30,294
2001-05-31,404
2001-06-01,366
2001-06-02,304
2001-06-03,372
2001-06-04,479
2001-06-05,676
2001-06-06,735
2001-06-07,344
2001-06-08,318
2001-06-09,926
2001-06-10,291
2001-06-11,463
2001-06-12,691
2001-06-13,635
2001-06-14,769
2001-06-15,1212
2001-06-16,589
2001-06-17,481
2001-06-18,314
2001-06-19,332
2001-06-20,710
2001-06-21,605
2001-06-22,1154
2001-06-23,626
2001-06-24,238
2001-06-25,333
2001-06-26,328
2001-06-27,327
2001-06-28,282
2001-06-29,197
2001-06-30,412
2001-07-01,1153
2001-07-02,444
2001-07-03,336
2001-07-04,261
2001-07-05,306
2001-07-06,336
2001-07-07,179
2001-07-08,236
2001-07-09,306
2001-07-10,665
2001-07-11,397
2001-07-12,284
2001-07-13,227
2001-07-14,234
2001-07-15,178
2001-07-16,317
2001-07-17,445
2001-07-18,438
2001-07-19,307
2001-07-20,242
2001-07-21,309
2001-07-22,342
2001-07-23,634
2001-07-24,425
2001-07-25,401
2001-07-26,502
2001-07-27,222
2001-07-28,179
2001-07-29,280
2001-07-30,443
2001-07-31,258
2001-08-01,221
2001-08-02,658
2001-08-03,353
2001-08-04,326
2001-08-05,241
2001-08-06,270
2001-08-07,366
2001-08-08,322
2001-08-09,451
2001-08-10,981
2001-08-11,525
2001-08-12,456
2001-08-13,795
2001-08-14,346
2001-08-15,321
2001-08-16,295
2001-08-17,488
2001-08-18,322
2001-08-19,187
2001-08-20,373
2001-08-21,411
2001-08-22,725
2001-08-23,354
2001-08-24,279
2001-08-25,390
2001-08-26,247
2001-08-27,635
2001-08-28,680
2001-08-29,277
2001-08-30,436
2001-08-31,587
2001-09-01,196
2001-09-02,155
2001-09-03,158
2001-09-04,489
