(IU,1992-1,3506929)
(IU,1992-12,3710810)
(IF,1992-8,4247711)
(DU,1990-6,36842004)
(IU,1991-9,3869429)
(IU,1991-11,3180323)
(DU,1994-5,40160849)
(IF,1994-9,3945324)
(IU,1990-7,4521613)
(DU,1992-3,34725592)
(IU,1990-5,3431860)
(IF,1991-12,3191824)
(DU,1992-10,34955428)
(IU,1993-4,3934265)
(IU,1994-1,4002184)
(IU,1991-4,3091603)
(IF,1993-7,4346689)
(IF,1994-5,3590453)
(DU,1994-1,33063218)
(DU,1991-6,35858037)
(DF,1992-12,0)
(DU,1992-12,33830874)
(DU,1991-1,30724450)
(IF,1990-5,2985524)
(DU,1993-8,41136058)
(IF,1993-11,3102070)
(DU,1994-12,39860272)
(IU,1993-8,5296822)
(DU,1994-8,44685652)
(IF,1992-10,3375638)
(IU,1990-10,3404980)
(IF,1991-7,3721617)
(DU,1990-3,37128970)
(DU,1993-4,35911416)
(IF,1990-1,2860131)
(IU,1990-1,3163636)
(IU,1991-12,3420389)
(IF,1994-11,3336791)
(IF,1991-2,2323389)
(IU,1994-9,4405835)
(IF,1992-3,3269562)
(IF,1990-12,3024619)
(IF,1993-2,2815841)
(DU,1992-7,43020899)
(IU,1992-6,4197786)
(IF,1993-10,3461656)
(DU,1991-11,31460132)
(IF,1994-2,3009219)
(IF,1994-6,4019276)
(IU,1991-5,3537495)
(IF,1993-6,3706176)
(IU,1990-8,4809858)
(IU,1992-2,3335676)
(IF,1990-6,3398467)
(IU,1991-8,4913800)
(IF,1991-3,2873709)
(DU,1991-12,34547097)
(DU,1993-7,40061356)
(IF,1991-11,2810935)
(IU,1990-4,3354738)
(DU,1990-9,32065750)
(DU,1991-3,33580010)
(DU,1993-9,35566276)
(IF,1992-12,3308177)
(IU,1993-5,4107034)
(DU,1992-4,32726872)
(IF,1994-1,3600154)
(IU,1993-12,3861790)
(IU,1992-9,3953099)
(IU,1994-5,4131897)
(IF,1993-3,3327112)
(DU,1993-3,36290302)
(IF,1994-10,3773951)
(DU,1990-5,34817539)
(DU,1991-7,37508302)
(IU,1991-2,2300642)
(IU,1993-9,4221740)
(DU,1993-11,36187863)
(DU,1992-8,43894824)
(IU,1991-1,3041604)
(DU,1994-9,38567585)
(DU,1994-4,38672069)
(DU,1992-1,29943398)
(IF,1992-4,3265400)
(DU,1990-10,34880553)
(IU,1992-5,3822359)
(IF,1990-11,2994875)
(IF,1990-2,2542367)
(IU,1991-10,3621322)
(IU,1992-11,3475666)
(IU,1990-12,3333433)
(IF,1990-9,3281648)
(DU,1992-5,34615438)
(DF,1992-3,0)
(IF,1990-7,3810899)
(DU,1993-6,38266242)
(IF,1991-10,3105477)
(DU,1990-8,40133087)
(DU,1994-3,40829245)
(IF,1992-1,3268915)
(DU,1993-10,38278811)
(IU,1992-3,3865991)
(IU,1990-3,3448533)
(IU,1993-6,4361449)
(DU,1990-4,34911807)
(IF,1993-5,3451387)
(IF,1991-4,2803254)
(DU,1994-7,44225966)
(DU,1991-4,33983273)
(IU,1990-9,3641866)
(IU,1994-6,4619219)
(IF,1993-4,3279389)
(IU,1992-4,3658870)
(IU,1993-3,4156289)
(IF,1992-7,4068202)
(DU,1994-10,41251539)
(IU,1991-3,3023635)
(IF,1991-5,3041909)
(IU,1994-7,5229173)
(IF,1993-9,3574809)
(DU,1991-8,38909185)
(IU,1993-11,3479444)
(IU,1991-7,4497414)
(DU,1993-2,30252380)
(IU,1992-8,5021247)
(DU,1990-1,31184423)
(IF,1990-3,3576230)
(IU,1994-10,4192738)
(IF,1990-10,2961992)
(IF,1992-5,3362949)
(IF,1994-7,4571399)
(IU,1992-10,3922774)
(DU,1991-5,34439435)
(DU,1990-11,33249229)
(DF,1992-1,0)
(IU,1994-4,4017792)
(DU,1994-2,32706163)
(IF,1991-9,3213846)
(DU,1993-5,36741414)
(IU,1990-6,3950134)
(IU,1993-1,3932994)
(IF,1992-9,3424481)
(IF,1993-1,3474472)
(IF,1990-8,3923203)
(IF,1992-11,3012245)
(IF,1993-8,4499057)
(IF,1990-4,3089033)
(DU,1992-9,35132914)
(IU,1990-11,3102009)
(DU,1992-11,33078503)
(IU,1993-7,5073130)
(IU,1994-2,3549010)
(DU,1994-6,41916076)
(IF,1994-8,4737191)
(DU,1991-2,29064590)
(IF,1991-6,3302648)
(IF,1993-12,3527220)
(DU,1992-6,39660918)
(IF,1991-1,2950389)
(IU,1992-7,4711880)
(IF,1991-8,3979598)
(DU,1993-12,36483396)
(IU,1993-2,3470911)
(IF,1992-6,3572503)
(IF,1994-3,3738300)
(IU,1993-10,4190251)
(IF,1994-4,3434564)
(DU,1991-9,31545009)
(DU,1990-12,32982839)
(DU,1990-2,30715911)
(IU,1994-12,4049087)
(DU,1992-2,29568279)
(IU,1994-8,5313075)
(IF,1992-2,2853932)
(DU,1991-10,34443448)
(DU,1994-11,39644182)
(IU,1994-3,4396340)
(IU,1990-2,2820116)
(IU,1991-6,4005496)
(DU,1993-1,31121599)
(IF,1994-12,3788449)
(IU,1994-11,3758952)
(DU,1990-7,37703734)
(IU,1999-8,6539058)
(DU,1997-9,41697000)
(IF,1997-11,4479308)
(DF,1997-10,0)
(DU,1996-10,44661498)
(IU,1999-5,5380159)
(IU,1996-1,4329129)
(DF,1995-9,0)
(IF,1995-1,3878677)
(IU,1996-10,4559089)
(IU,1995-4,4249736)
(DF,1999-6,0)
(IF,1996-6,4839074)
(DF,1998-5,272)
(IF,1996-3,4438142)
(IU,1995-9,4705463)
(DU,1997-4,44668560)
(DU,1996-4,43764745)
(DF,1997-4,0)
(IF,1998-4,4907273)
(DF,1995-12,197)
(DU,1999-6,50894656)
(IF,1999-5,5483074)
(IF,1998-10,5114414)
(IF,1995-12,4205846)
